,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,URL
431,"Corporate Vice President, Analytics Data Engineer",$123K - $210K (Employer est.),"Graduate-level degree in computer science, engineering, or relevant work experience. Implement data models and structures to support data products and……
Skills: Jira, Computer science, Big data, Git, SQL",3.7,New York Life Insurance Co,"New York, NY",10000+ Employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"https://www.glassdoor.com/job-listing/corporate-vice-president-analytics-data-engineer-new-york-life-insurance-co-JV_IC1132348_KO0,48_KE49,75.htm?jl=1009363778150"
432,"Director, Subscriptions Marketing Analytics",$100K - $250K (Employer est.),"Evaluate and implement appropriate data science tools, platforms, and technologies to streamline processes and enhance data-driven marketing and Automated……
Skills: Power BI, Data mining, R, Tableau, SQL",3.6,Dow Jones,"New York, NY",5001 to 10000 Employees,1882,Subsidiary or Business Segment,Broadcast Media,Media & Communication,$500 million to $1 billion (USD),"https://www.glassdoor.com/job-listing/director-subscriptions-marketing-analytics-dow-jones-JV_IC1132348_KO0,42_KE43,52.htm?jl=1009356709189"
433,"AIML - Software Engineer, Health AI",$135K - $251K (Employer est.),"In this role, you will collaborate with research scientists, machine learning engineers, software engineers, and designers to develop new on-device experiences……
Skills: Computer science, iOS, Objective-C, Machine learning, Swift",4.1,Apple,"Seattle, WA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/aiml-software-engineer-health-ai-apple-JV_IC1150505_KO0,32_KE33,38.htm?jl=1009371880432"
434,"Manager II, Fraud Solutions Consulting Analytics",$119K - $202K (Employer est.),"Bachelor’s or Master’s degree in statistics, computer science, engineering, operations research, or other quantitative field; or a Bachelor’s degree in a……
Skills: R, Microsoft Office, Machine learning, Product management, Leadership",3.6,TransUnion,"Chicago, IL",10000+ Employees,1968,Company - Public,Business Consulting,Management & Consulting,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/manager-ii-fraud-solutions-consulting-analytics-transunion-JV_IC1128808_KO0,47_KE48,58.htm?jl=1009359292508"
435,Fraud Strategy & Analytics Analyst II,$74K - $142K (Employer est.),"Intermediate knowledge of data analysis tools, data visualization, developing analysis queries and procedures in SQL, SAS, BI tools or other analysis software,……
Skills: Statistics, SAS, Military, Data analysis skills, Tableau",3.4,USAA,"San Antonio, TX",10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $100 million (USD),"https://www.glassdoor.com/job-listing/fraud-strategy-analytics-analyst-ii-usaa-JV_IC1140494_KO0,35_KE36,40.htm?jl=1009380430068"
436,Senior Director of AI Product,$174K - $224K (Glassdoor est.),"Excellent verbal and written communication skills, with the ability to effectively convey complex technical concepts to non-technical stakeholders.…
Skills: Analysis skills, Product development, Machine learning, Product management, Organizational skills",3.5,Uniphore,"Palo Alto, CA",501 to 1000 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/senior-director-of-ai-product-uniphore-JV_IC1147434_KO0,29_KE30,38.htm?jl=1009368159255"
437,"Software Engineer (Big Data), Ai & Data Platforms",$143K - $215K (Employer est.),"You are able to communicate effectively, both written and verbal, with technical and non-technical multi-functional teams.…
Skills: Computer science, Data modeling, Cloud infrastructure, Azure, Kubernetes",4.1,Apple,"Sunnyvale, CA",10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/software-engineer-big-data-ai-data-platforms-apple-JV_IC1147442_KO0,44_KE45,50.htm?jl=1009339347675"
438,"Applied Scientist I, BRP (Buyer Risk Prevention)",$129K - $213K (Employer est.),"Master's degree in computer science, mathematics, statistics, machine learning or equivalent quantitative field.…
Skills: Oracle, Java, SQL, C++, Machine learning",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/applied-scientist-i-brp-buyer-risk-prevention-amazon-com-services-llc-JV_IC1150505_KO0,45_KE46,69.htm?jl=1009373183942"
439,"Technical Program Manager III, Machine Learning, Search",-1,"Using your extensive technical and leadership expertise, you manage projects of various size and scope, identifying future opportunities, improving processes……
Skills: TensorFlow, Program management, Machine learning, AI, Leadership",4.3,Google,"Mountain View, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/technical-program-manager-iii-machine-learning-search-google-JV_IC1147431_KO0,53_KE54,60.htm?jl=1009378750092"
440,Sr. Scientist - Global Intelligence,$174K - $194K (Employer est.),"You will build out and own competitive models/metrics, provide key insights, conduct deep dive analysis to understand new opportunities and empower teams to……
Skills: R, Data analysis skills, SQL, Statistical analysis, Machine learning",3.9,Uber,"New York, NY",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/sr-scientist-global-intelligence-uber-JV_IC1132348_KO0,32_KE33,37.htm?jl=1009315986022"
441,Quantitative Equity Research Analyst,-1,"And we provide institutions and independent advisors with investment and technology solutions to help invest their own clients’ money.…
Skills: Statistical software, MATLAB, Management, R, Bloomberg",4.2,Fidelity Investments,"Boston, MA",10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD),"https://www.glassdoor.com/job-listing/quantitative-equity-research-analyst-fidelity-investments-JV_IC1154532_KO0,36_KE37,57.htm?jl=1009369112637"
442,Planning Analytics and Risk Management - Associate Data Scientist - Innovation,$75K - $100K (Employer est.),"Evaluate the model performance and develop practical cost benefit analysis. A graduate level degree in a quantitative field such as math, physics, computer……
Skills: Computer science, Machine learning, Deep learning, Natural language processing, Quantitative analysis",4.0,The Cincinnati Insurance Companies,"Fairfield, OH",1001 to 5000 Employees,1968,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/planning-analytics-and-risk-management-associate-data-scientist-innovation-the-cincinnati-insurance-companies-JV_IC1145710_KO0,74_KE75,109.htm?jl=1009287354956"
443,Principal Applied Scientist,$138K - $294K (Employer est.),"Conduct applied science experiments, create and validate metrics, develop ML pipeline and modeling algorithm in the area of Large Language Models, Natural……
Skills: TensorFlow, Statistics, Computer science, Azure, Research",4.2,Microsoft,United States,10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/principal-applied-scientist-microsoft-JV_KO0,27_KE28,37.htm?jl=1009292509825"
444,Senior Data Scientist,$173K - $243K (Employer est.),"Excellent logical thinking, a very strong background (Bachelor’s/Master’s degree) in a quantitative field such as mathematics, statistics, physics, engineering,……
Skills: Data mining, R, Statistical analysis, Machine learning, Scala",3.8,Expedia Partner Solutions,"Austin, TX",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/senior-data-scientist-expedia-partner-solutions-JV_IC1139761_KO0,21_KE22,47.htm?jl=1009309697941"
445,Machine Learning Model Engineer,$230K - $280K (Employer est.),"Design, develop, and deploy scalable low-latency machine learning products. Experience with mainstream big data tools (e.g., MapReduce, Spark, Flink, Kafka, etc……
Skills: TensorFlow, Computer science, Data mining, Go, Big data",3.5,Samsung Electronics,"Mountain View, CA",1001 to 5000 Employees,1938,Subsidiary or Business Segment,Computer Hardware Development,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/machine-learning-model-engineer-samsung-electronics-JV_IC1147431_KO0,31_KE32,51.htm?jl=1009369938251"
446,Principal Data AI Engineer,$170K (Employer est.),"A bachelor's degree or higher in Computer Science, Mathematics, Statistics, Engineering or related field. Identify trends in datasets and develop workflows and……
Skills: Management, R, Java, AWS, Product development",3.2,Hertz,"Estero, FL",10000+ Employees,1918,Company - Public,Car & Truck Rental,Transportation & Logistics,$5 to $10 billion (USD),"https://www.glassdoor.com/job-listing/principal-data-ai-engineer-hertz-JV_IC1154015_KO0,26_KE27,32.htm?jl=1009370970912"
447,Computational Scientist - Artificial Intelligence & Machine Learning,$72K - $128K (Glassdoor est.),"Ph.D. in computer science, computer engineering, data science, or similar. Evaluates past and present technologies to help develop new tools.…
Skills: TensorFlow, MATLAB, Computer vision, R, Git",4.1,The University of Chicago,"Chicago, IL",10000+ Employees,1890,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),"https://www.glassdoor.com/job-listing/computational-scientist-artificial-intelligence-machine-learning-the-university-of-chicago-JV_IC1128808_KO0,64_KE65,90.htm?jl=1009293414679"
448,"Senior Director, Supply Chain & Planning AI/ML Engineering (REMOTE WORK OPTION)",$20K - $471K (Employer est.),"Bachelor's Degree in computer science, software engineering, or related field (Masters or Ph.D. preferred). Manage the professional development and career plans……
Skills: TensorFlow, CI/CD, Kubernetes, AWS, Docker",4.0,Nike,"Beaverton, OR",10000+ Employees,1972,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-director-supply-chain-planning-ai-ml-engineering-remote-work-option-nike-JV_IC1151576_KO0,74_KE75,79.htm?jl=1009311108387"
449,Payment Strategy - Risk Analyst - USDS,$144K - $240K (Employer est.),"Be able to effectively communicate complex concepts and insights to technical and non-technical stakeholders. Perform in-depth analysis to get to the root cause……
Skills: Management, R, E-commerce, SQL, Financial services",3.3,TikTok,"Mountain View, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/payment-strategy-risk-analyst-usds-tiktok-JV_IC1147431_KO0,34_KE35,41.htm?jl=1009251571654"
450,Senior Research Scientist,$150K - $207K (Employer est.),"Advanced degree in quantitative area of study such as statistics, economics, operations research, finance, mathematics, or related field.…
Skills: Machine learning, Data science, Leadership, Communication skills, Python",3.5,"Upstart Network, Inc.",Remote,1001 to 5000 Employees,2012,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,"https://www.glassdoor.com/job-listing/senior-research-scientist-upstart-network-inc-JV_KO0,25_KE26,45.htm?jl=1009342616736"
451,"Staff Machine Learning Engineer, Content Understanding",$167K - $343K (Employer est.),"Utilize state of the art machine learning, natural language processing, and multimodal modeling techniques to build content signals that power personalized……
Skills: Machine learning, Natural language processing, AI, Graph databases",4.0,Pinterest,"Palo Alto, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD),"https://www.glassdoor.com/job-listing/staff-machine-learning-engineer-content-understanding-pinterest-JV_IC1147434_KO0,53_KE54,63.htm?jl=1009358400167"
452,"Senior Technical Program Manager I, Machine Learning, Google Cloud",-1,"Bachelor's degree in a relevant field, or equivalent practical experience. You're equally comfortable explaining your team's analyses and recommendations to……
Skills: Program management, Machine learning",4.3,Google,"Sunnyvale, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),"https://www.glassdoor.com/job-listing/senior-technical-program-manager-i-machine-learning-google-cloud-google-JV_IC1147442_KO0,64_KE65,71.htm?jl=1009373393456"
